[2026-01-19 09:45:47,740] 24 root - INFO - Entered the data ingestion method or component
[2026-01-19 09:45:49,461] 28 root - INFO - Read the dataset as dataframe
[2026-01-19 09:45:49,553] 38 root - INFO - Train test split initiated
[2026-01-19 09:45:49,651] 45 root - INFO - Data Ingestion Completed
[2026-01-19 09:45:49,733] 73 root - INFO - Read train and test set complete
[2026-01-19 09:45:49,733] 74 root - INFO - Obtaining preprocessor  object
[2026-01-19 09:45:49,733] 54 root - INFO - Numerical columns enocded completed
[2026-01-19 09:45:49,733] 55 root - INFO - Categorical columns enocded completed
[2026-01-19 09:45:49,735] 93 root - INFO - Applying preprocessing object on tarining and testing dataframe
