[2026-01-19 18:55:44,368] 29 root - INFO - Entered the data ingestion method or component
[2026-01-19 18:55:46,164] 33 root - INFO - Read the dataset as dataframe
[2026-01-19 18:55:46,254] 65 root - INFO - Train test split initiated
[2026-01-19 18:55:46,323] 72 root - INFO - Data Ingestion Completed
[2026-01-19 18:55:46,392] 104 root - INFO - Read train and test set complete
[2026-01-19 18:55:46,392] 105 root - INFO - Obtaining preprocessor  object
[2026-01-19 18:55:46,393] 78 root - INFO - Missing values imputed completed
[2026-01-19 18:55:46,393] 79 root - INFO - Numerical columns enocded completed
[2026-01-19 18:55:46,393] 80 root - INFO - Categorical columns enocded completed
[2026-01-19 18:55:46,394] 122 root - INFO - Applying preprocessing object on tarining and testing dataframe
[2026-01-19 18:55:46,530] 134 root - INFO - Saved preprocessing object
[2026-01-19 18:55:46,549] 33 root - INFO - Splitting training and testing input data
