[2026-01-19 19:26:36,591] 29 root - INFO - Entered the data ingestion method or component
[2026-01-19 19:26:38,514] 33 root - INFO - Read the dataset as dataframe
[2026-01-19 19:26:38,602] 65 root - INFO - Train test split initiated
[2026-01-19 19:26:38,670] 72 root - INFO - Data Ingestion Completed
[2026-01-19 19:26:38,744] 104 root - INFO - Read train and test set complete
[2026-01-19 19:26:38,744] 105 root - INFO - Obtaining preprocessor  object
[2026-01-19 19:26:38,744] 78 root - INFO - Missing values imputed completed
[2026-01-19 19:26:38,744] 79 root - INFO - Numerical columns enocded completed
[2026-01-19 19:26:38,744] 80 root - INFO - Categorical columns enocded completed
[2026-01-19 19:26:38,745] 119 root - INFO - Applying preprocessing object on tarining and testing dataframe
[2026-01-19 19:26:38,828] 127 root - INFO - Saved preprocessing object
[2026-01-19 19:26:38,838] 33 root - INFO - Splitting training and testing input data
[2026-01-19 19:26:40,276] 55 root - INFO - Best found model
