[2026-01-19 19:16:16,287] 29 root - INFO - Entered the data ingestion method or component
[2026-01-19 19:16:18,081] 33 root - INFO - Read the dataset as dataframe
[2026-01-19 19:16:18,176] 65 root - INFO - Train test split initiated
[2026-01-19 19:16:18,244] 72 root - INFO - Data Ingestion Completed
[2026-01-19 19:16:18,321] 104 root - INFO - Read train and test set complete
[2026-01-19 19:16:18,322] 105 root - INFO - Obtaining preprocessor  object
[2026-01-19 19:16:18,322] 78 root - INFO - Missing values imputed completed
[2026-01-19 19:16:18,322] 79 root - INFO - Numerical columns enocded completed
[2026-01-19 19:16:18,322] 80 root - INFO - Categorical columns enocded completed
[2026-01-19 19:16:18,323] 119 root - INFO - Applying preprocessing object on tarining and testing dataframe
[2026-01-19 19:16:18,407] 127 root - INFO - Saved preprocessing object
[2026-01-19 19:16:18,417] 33 root - INFO - Splitting training and testing input data
