[2026-01-19 09:54:19,827] 24 root - INFO - Entered the data ingestion method or component
[2026-01-19 09:54:21,592] 28 root - INFO - Read the dataset as dataframe
[2026-01-19 09:54:21,694] 38 root - INFO - Train test split initiated
[2026-01-19 09:54:21,793] 45 root - INFO - Data Ingestion Completed
[2026-01-19 09:54:21,865] 73 root - INFO - Read train and test set complete
[2026-01-19 09:54:21,865] 74 root - INFO - Obtaining preprocessor  object
[2026-01-19 09:54:21,865] 54 root - INFO - Numerical columns enocded completed
[2026-01-19 09:54:21,865] 55 root - INFO - Categorical columns enocded completed
[2026-01-19 09:54:21,867] 93 root - INFO - Applying preprocessing object on tarining and testing dataframe
