[2026-01-19 09:43:30,406] 24 root - INFO - Entered the data ingestion method or component
[2026-01-19 09:43:32,161] 28 root - INFO - Read the dataset as dataframe
[2026-01-19 09:43:32,259] 38 root - INFO - Train test split initiated
[2026-01-19 09:43:32,361] 45 root - INFO - Data Ingestion Completed
[2026-01-19 09:43:32,436] 73 root - INFO - Read train and test set complete
[2026-01-19 09:43:32,436] 74 root - INFO - Obtaining preprocessor  object
[2026-01-19 09:43:32,436] 54 root - INFO - Numerical columns enocded completed
[2026-01-19 09:43:32,436] 55 root - INFO - Categorical columns enocded completed
[2026-01-19 09:43:32,437] 93 root - INFO - Applying preprocessing object on tarining and testing dataframe
