[2026-01-19 09:56:43,579] 24 root - INFO - Entered the data ingestion method or component
[2026-01-19 09:56:45,398] 28 root - INFO - Read the dataset as dataframe
[2026-01-19 09:56:45,489] 38 root - INFO - Train test split initiated
[2026-01-19 09:56:45,584] 45 root - INFO - Data Ingestion Completed
[2026-01-19 09:56:45,667] 73 root - INFO - Read train and test set complete
[2026-01-19 09:56:45,667] 74 root - INFO - Obtaining preprocessor  object
[2026-01-19 09:56:45,667] 54 root - INFO - Numerical columns enocded completed
[2026-01-19 09:56:45,667] 55 root - INFO - Categorical columns enocded completed
[2026-01-19 09:56:45,672] 93 root - INFO - Applying preprocessing object on tarining and testing dataframe
[2026-01-19 09:56:46,050] 105 root - INFO - Saved preprocessing object
