[2026-01-19 09:49:03,563] 24 root - INFO - Entered the data ingestion method or component
[2026-01-19 09:49:05,346] 28 root - INFO - Read the dataset as dataframe
[2026-01-19 09:49:05,440] 38 root - INFO - Train test split initiated
[2026-01-19 09:49:05,538] 45 root - INFO - Data Ingestion Completed
[2026-01-19 09:49:05,610] 73 root - INFO - Read train and test set complete
[2026-01-19 09:49:05,610] 74 root - INFO - Obtaining preprocessor  object
[2026-01-19 09:49:05,610] 54 root - INFO - Numerical columns enocded completed
[2026-01-19 09:49:05,610] 55 root - INFO - Categorical columns enocded completed
[2026-01-19 09:49:05,612] 93 root - INFO - Applying preprocessing object on tarining and testing dataframe
