[2026-01-19 09:51:34,203] 24 root - INFO - Entered the data ingestion method or component
[2026-01-19 09:51:35,917] 28 root - INFO - Read the dataset as dataframe
[2026-01-19 09:51:36,010] 38 root - INFO - Train test split initiated
[2026-01-19 09:51:36,105] 45 root - INFO - Data Ingestion Completed
[2026-01-19 09:51:36,181] 73 root - INFO - Read train and test set complete
[2026-01-19 09:51:36,181] 74 root - INFO - Obtaining preprocessor  object
[2026-01-19 09:51:36,181] 54 root - INFO - Numerical columns enocded completed
[2026-01-19 09:51:36,181] 55 root - INFO - Categorical columns enocded completed
[2026-01-19 09:51:36,183] 93 root - INFO - Applying preprocessing object on tarining and testing dataframe
