[2026-01-19 19:35:54,590] 29 root - INFO - Entered the data ingestion method or component
[2026-01-19 19:35:56,282] 33 root - INFO - Read the dataset as dataframe
[2026-01-19 19:35:56,369] 65 root - INFO - Train test split initiated
[2026-01-19 19:35:56,439] 72 root - INFO - Data Ingestion Completed
[2026-01-19 19:35:56,521] 104 root - INFO - Read train and test set complete
[2026-01-19 19:35:56,522] 105 root - INFO - Obtaining preprocessor  object
[2026-01-19 19:35:56,522] 78 root - INFO - Missing values imputed completed
[2026-01-19 19:35:56,522] 79 root - INFO - Numerical columns enocded completed
[2026-01-19 19:35:56,522] 80 root - INFO - Categorical columns enocded completed
[2026-01-19 19:35:56,523] 119 root - INFO - Applying preprocessing object on tarining and testing dataframe
