[2026-01-19 19:14:10,192] 29 root - INFO - Entered the data ingestion method or component
[2026-01-19 19:14:11,902] 33 root - INFO - Read the dataset as dataframe
[2026-01-19 19:14:11,992] 65 root - INFO - Train test split initiated
[2026-01-19 19:14:12,063] 72 root - INFO - Data Ingestion Completed
[2026-01-19 19:14:12,135] 104 root - INFO - Read train and test set complete
[2026-01-19 19:14:12,135] 105 root - INFO - Obtaining preprocessor  object
[2026-01-19 19:14:12,135] 78 root - INFO - Missing values imputed completed
[2026-01-19 19:14:12,135] 79 root - INFO - Numerical columns enocded completed
[2026-01-19 19:14:12,145] 80 root - INFO - Categorical columns enocded completed
[2026-01-19 19:14:12,147] 119 root - INFO - Applying preprocessing object on tarining and testing dataframe
[2026-01-19 19:14:12,235] 127 root - INFO - Saved preprocessing object
